MSE,MAE,R2
9.36494615138331,2.5041359869913205,-3.467331580031541e-05
8.950474547710265,2.4459871288812125,0.04422462813428052
8.42678008827104,2.356448896234045,0.10014727939108914
6.158210793748556,1.8767418584956501,0.3423961846885255
3.165061780540365,1.39020014768693,0.6569712750132666
2.9113015204774157,1.328500068942136,0.684473758218139
2.965651639679611,1.362010117628547,0.6804612256851961
3.09658701042251,1.3942719372235304,0.6663533893763569
9.536720975488844,2.4800299881548846,-0.027548917316263966
14.648619111875758,3.1711889403972644,-0.5783383772339743
